"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47u","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C2","1","47n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","47µ","","","","Capacitor_SMD:C_1210_3225Metric",""
"CSNUB1","1","0.001µ","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","MBRS1100","","","","Diode_SMD:D_SMB",""
"DSNUB1","1","1N4148","","","","Diode_SMD:D_SOD-123",""
"J1","1","Input","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J2","1","Output","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"L_EMI_1","1","5n","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1,R3","2","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","40.2K","","","","Resistor_SMD:R_0805_2012Metric",""
"RLOAD1","1","16","","","","Resistor_SMD:R_2512_6332Metric",""
"RSNUB1","1","10K","","","","Resistor_SMD:R_1206_3216Metric",""
"T1","1","EPQ13_6389_10PINS_750318525","","","","Transformer_SMD_Wurth:T_Wurth_WE-FLYTI-EPQ13_6389_10PINS","https://www.we-online.com/catalog/datasheet/750318525.pdf?ki"
"TP1","1","TP_VIN","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP2","1","TP_PRI_GND","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP3","1","TP_SW","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP4","1","TP_VOUT+","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP5","1","TP_VOUT-","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"U1","1","LT8300","","","","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.5x1.8mm",""
